index,ticker,per_end_date,per_type,mkt_val
361651,FEDU,2024-03-31,Q,22.86
733201,OVBC,2024-03-31,Q,117.21
732901,OUT,2024-03-31,Q,2785.14
732826,OUST,2024-03-31,Q,357.13
362251,FENC,2024-03-31,Q,301.35
733951,OWL,2024-03-31,Q,26947.24
735001,OZK,2024-03-31,Q,5156.75
734926,OZ,2024-03-31,Q,227.22
360601,FDMT,2024-03-31,Q,1629.88
734776,OXY,2024-03-31,Q,57611.34
734701,OXSQ,2024-03-31,Q,189.16
360901,FDP,2024-03-31,Q,1241.04
734551,OXM,2024-03-31,Q,1757.97
361501,FEAM,2024-03-31,Q,84.8
361426,FE,2024-03-31,Q,22226.45
734101,OWLT,2024-03-31,Q,38.64
361351,FDX,2024-03-31,Q,71299.44
361276,FDUS,2024-03-31,Q,620.35
734326,OXBR,2024-03-31,Q,6.37
361126,FDSB,2024-03-31,Q,
742876,PBYI,2024-03-31,Q,255.67
354001,FATE,2024-03-31,Q,835.41
354076,FATH,2024-03-31,Q,32.17
741226,PBIO,2024-03-31,Q,5.89
741151,PBI,2024-03-31,Q,774.53
741076,PBHC,2024-03-31,Q,58.43
353926,FATBB,2024-03-31,Q,
741001,PBH,2024-03-31,Q,3602.55
740776,PBFS,2024-03-31,Q,256.77
354751,FBDS,2024-03-31,Q,1.15
740701,PBF,2024-03-31,Q,6825.73
