ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
NSP,2024-03-31,Q,15.5206,2.6357
NSIT,2024-03-31,Q,2.9073,0.5022
NSC,2024-03-31,Q,0.1784,1.4026
NREF,2024-03-31,Q,-1.7744,1.5227
NRG,2024-03-31,Q,3.9748,3.2332
NRILY,2024-03-31,A,11.8352,0.7408
NRIM,2024-03-31,Q,3.1151,0.0998
NXT,2024-03-31,Q,19.648,0.1489
NRXP,2024-03-31,Q,43.3207,-0.4499
NRXS,2024-03-31,Q,66.5939,-0.4384
NSA,2024-03-31,Q,1.8172,1.6874
NRP,2024-03-31,Q,8.5308,0.3898
NXU,2024-03-31,Q,-49.6471,0.0016
ONL,2024-03-31,Q,-1.9794,0.548
ONIT,2024-03-31,Q,0.306,21.763
ONFO,2024-03-31,Q,-10.6503,0.2833
ONEW,2024-03-31,Q,-0.5685,2.612
ONDS,2024-03-31,Q,-33.2198,1.0569
ONCO,2024-03-31,Q,77.2819,-1.0548
ONB,2024-03-31,Q,1.8769,0.9528
OMTK,2024-03-31,Q,6.3222,-0.1975
OMQS,2024-03-31,Q,5.9709,-0.3075
OMIC,2024-03-31,Q,-15.2284,0.0487
OMI,2024-03-31,Q,-0.7704,2.4067
OMGA,2024-03-31,Q,-36.4319,0.4328
OMF,2024-03-31,Q,0.6818,6.0734
OMEX,2024-03-31,Q,-1.1144,-0.2715
OMER,2024-03-31,Q,-30.851,-2.9927
OMCL,2024-03-31,Q,-0.8912,0.4799
ON,2024-03-31,Q,4.237,0.4127
OPAL,2024-03-31,Q,-0.3622,-0.5195
OPBK,2024-03-31,Q,2.6838,0.5392
