ticker,comp_name,exchange,per_end_date,per_type,filing_date,filing_type,zacks_sector_code,lterm_debt_net_tot,eps_diluted_net_basic
DBI,Designer Brands,NYSE,2024-01-31,A,2024-03-25,10-K,3.0,153.1599,0.46
CRWD,CrowdStrike,NASDAQ,2024-01-31,Q,2024-03-07,10-Q,10.0,742.494,0.23
IOT,Samsara Inc.,NYSE,2024-01-31,A,2024-03-26,10-K,10.0,-2.205,-0.54
SRCO,Sparta Commercial Services,NASDAQ Other OTC,2024-01-31,Q,2024-06-14,10-Q,13.0,0.254,-0.004
SMAR,Smartsheet,NYSE,2024-01-31,A,2024-03-20,10-K,10.0,-0.034,-0.78
PD,PagerDuty,NYSE,2024-01-31,Q,2024-03-15,10-Q,10.0,112.054,-0.34
OXM,Oxford Industries,NYSE,2024-01-31,Q,2024-04-01,10-Q,2.0,-89.707,-3.72
SMAR,Smartsheet,NYSE,2024-01-31,Q,2024-03-20,10-Q,10.0,-0.034,-0.06
CHPT,ChargePoint,NYSE,2024-01-31,Q,2024-04-01,10-Q,5.0,283.704,-0.21
KEYS,Keysight Technologies,NYSE,2024-01-31,Q,2024-03-05,10-Q,10.0,1208.0,0.98
STRM,Streamline Health Solutions,NASDAQ,2024-01-31,Q,2024-04-30,10-Q,4.0,-0.75,-0.4498
OXM,Oxford Industries,NYSE,2024-01-31,A,2024-04-01,10-K,2.0,-89.707,3.82
CBRL,Cracker Barrel Old Country Store,NASDAQ,2024-01-31,Q,2024-02-27,10-Q,3.0,36.5,1.19
CHPT,ChargePoint,NYSE,2024-01-31,A,2024-04-01,10-K,5.0,283.704,-1.22
STRM,Streamline Health Solutions,NASDAQ,2024-01-31,A,2024-04-30,10-K,4.0,-0.75,-4.9475
ESTC,Elastic,NYSE,2024-01-31,Q,2024-03-01,10-Q,10.0,568.341,1.69
PD,PagerDuty,NYSE,2024-01-31,A,2024-03-15,10-K,10.0,112.054,-0.89
SMTC,Semtech,NASDAQ,2024-01-31,Q,2024-03-28,10-Q,10.0,42.625,-10.0
CASY,Casey's General Stores,NASDAQ,2024-01-31,Q,2024-03-11,10-Q,3.0,-48.364,2.33
ADI,Analog Devices,NASDAQ,2024-01-31,Q,2024-02-21,10-Q,10.0,5946.673,0.93
KEQU,Kewaunee Scientific,NASDAQ,2024-01-31,Q,2024-03-08,10-Q,10.0,-0.352,0.85
SNPS,Synopsys,NASDAQ,2024-01-31,Q,2024-02-23,10-Q,10.0,-1.303,2.89
PDCO,Patterson Companies,NASDAQ,2024-01-31,Q,2024-02-28,10-Q,4.0,-35.25,0.52
SMTC,Semtech,NASDAQ,2024-01-31,A,2024-03-28,10-K,10.0,42.625,-17.03
CHWY,Chewy,NYSE,2024-01-31,A,2024-03-20,10-K,3.0,-0.51,0.09
SPWH,Sportsman's Warehouse,NASDAQ,2024-01-31,A,2024-04-04,10-K,3.0,38.54,-0.77
OOMA,Ooma,NYSE,2024-01-31,Q,2024-04-02,10-Q,10.0,16.0,-0.12
JWN,Nordstrom,NYSE,2024-01-31,Q,2024-03-19,10-Q,3.0,2612.0,0.84
CHWY,Chewy,NYSE,2024-01-31,Q,2024-03-20,10-Q,3.0,-0.51,0.07
OOMA,Ooma,NYSE,2024-01-31,A,2024-04-02,10-K,10.0,16.0,-0.03
CAL,Caleres,NYSE,2024-01-31,Q,2024-04-02,10-Q,2.0,-125.5,1.56
JWN,Nordstrom,NYSE,2024-01-31,A,2024-03-19,10-K,3.0,2612.0,0.82
INTU,Intuit,NASDAQ,2024-01-31,Q,2024-02-22,10-Q,10.0,-244.0,1.25
SPWH,Sportsman's Warehouse,NASDAQ,2024-01-31,Q,2024-04-04,10-Q,3.0,38.54,-0.22
CAL,Caleres,NYSE,2024-01-31,A,2024-04-02,10-K,2.0,-125.5,4.8
PHR,Phreesia,NYSE,2024-01-31,Q,2024-03-15,10-Q,4.0,-5.691,-0.55
PHR,Phreesia,NYSE,2024-01-31,A,2024-03-15,10-K,4.0,-5.691,-2.51
JVA,Coffee Holding Co.,NASDAQ,2024-01-31,Q,2024-03-18,10-Q,1.0,0.0021,0.06
