ticker,per_end_date,per_type,ret_invst,tot_debt_tot_equity
FENC,2024-03-31,Q,39.2017,9.9482
NWBO,2024-03-31,Q,34.246,-0.6424
NRILY,2024-03-31,A,11.8352,0.7408
FMBH,2024-03-31,Q,2.2072,0.7274
NRIM,2024-03-31,Q,3.1151,0.0998
FMAO,2024-03-31,Q,1.6869,0.8966
FLYX,2024-03-31,Q,-48.6707,-1.8969
NRP,2024-03-31,Q,8.5308,0.3898
FLXS,2024-03-31,Q,1.1308,0.0976
FLWS,2024-03-31,Q,-2.5427,0.3903
NRXP,2024-03-31,Q,43.3207,-0.4499
FLUX,2024-03-31,Q,-47.4053,2.5759
NRXS,2024-03-31,Q,66.5939,-0.4384
FLS,2024-03-31,Q,2.4746,0.6105
NRG,2024-03-31,Q,3.9748,3.2332
FMNB,2024-03-31,Q,2.3137,1.0926
FMBM,2024-03-31,Q,1.4372,0.8612
NRC,2024-03-31,Q,9.8568,1.1388
FMCC,2024-03-31,Q,0.0848,63.6455
FMCB,2024-03-31,Q,3.9482,0.1952
NREF,2024-03-31,Q,-1.7744,1.5227
FMC,2024-03-31,Q,0.1278,1.0006
NTRA,2024-03-31,Q,-6.2744,0.458
NSC,2024-03-31,Q,0.1784,1.4026
FKYS,2024-03-31,Q,-7.33,3.0208
FIX,2024-03-31,Q,6.6448,0.0655
FIVN,2024-03-31,Q,-0.4297,2.4094
FISI,2024-03-31,Q,0.3629,0.5779
FIS,2024-03-31,Q,0.0629,0.621
FIP,2024-03-31,Q,-3.1692,4.1936
FINW,2024-03-31,Q,2.0382,0.001
FLR,2024-03-31,Q,1.2527,0.5621
FLO,2024-03-31,Q,3.019,0.7586
FLNT,2024-03-31,Q,-21.8326,1.0778
NTBLQ,2024-03-31,Q,-31.9477,0.0279
FLL,2024-03-31,Q,-2.1052,6.9835
NSTM,2024-03-31,Q,21.1966,-1.7452
FLIC,2024-03-31,Q,0.4971,1.3656
FLGT,2024-03-31,Q,-1.229,0.0004
NSYS,2024-03-31,Q,1.8066,0.1842
FLGC,2024-03-31,Q,-68.0928,1.8158
FLEX,2024-03-31,Q,1.0016,0.6124
FLEX,2024-03-31,A,10.1561,0.6124
NXRT,2024-03-31,Q,1.3187,2.9044
NXST,2024-03-31,Q,1.849,2.9028
OLN,2024-03-31,Q,0.9771,1.2531
EXPE,2024-03-31,Q,-1.6206,2.9288
OLP,2024-03-31,Q,0.7445,1.361
OLPX,2024-03-31,Q,0.5152,0.7648
EXP,2024-03-31,Q,3.2234,0.8355
EXP,2024-03-31,A,19.9696,0.8355
OM,2024-03-31,Q,-13.7732,2.1117
OMC,2024-03-31,Q,3.4976,1.5148
FACO,2024-03-31,Q,3.6656,0.2823
OILCF,2024-03-31,Q,-6.9208,0.0193
OIS,2024-03-31,Q,-1.6154,0.1967
FA,2024-03-31,Q,-0.1983,0.6157
OKE,2024-03-31,Q,1.7321,1.3379
F,2024-03-31,Q,0.936,3.4831
